Field,Value
Count,1
Message,Results returned successfully. NOTE: Any missing decoded values should be interpreted as NHTSA does not have data on the specific variable. Missing value should NOT be interpreted as an indication that a feature or technology is unavailable for a vehicle.
SearchCriteria,VIN(s): WDDPK5HA4CF011271
ABS,
ActiveSafetySysNote,
AdaptiveCruiseControl,
AdaptiveDrivingBeam,
AdaptiveHeadlights,
AdditionalErrorText,
AirBagLocCurtain,
AirBagLocFront,1st Row (Driver and Passenger)
AirBagLocKnee,
AirBagLocSeatCushion,
AirBagLocSide,1st Row (Driver and Passenger)
AutoReverseSystem,
AutomaticPedestrianAlertingSound,
AxleConfiguration,
Axles,
BasePrice,
BatteryA,
BatteryA_to,
BatteryCells,
BatteryInfo,
BatteryKWh,
BatteryKWh_to,
BatteryModules,
BatteryPacks,
BatteryType,
BatteryV,
BatteryV_to,
BedLengthIN,
BedType,Not Applicable
BlindSpotIntervention,
BlindSpotMon,
BodyCabType,Not Applicable
BodyClass,Convertible/Cabriolet
BrakeSystemDesc,
BrakeSystemType,
BusFloorConfigType,Not Applicable
BusLength,
BusType,Not Applicable
CAN_AACN,
CIB,
CashForClunkers,
ChargerLevel,
ChargerPowerKW,
CombinedBrakingSystem,
CoolingType,
CurbWeightLB,
CustomMotorcycleType,Not Applicable
DaytimeRunningLight,
DestinationMarket,
DisplacementCC,3500.0
DisplacementCI,213.58310433156
DisplacementL,3.5
Doors,2
DriveType,
DriverAssist,
DynamicBrakeSupport,
EDR,
ESC,
EVDriveUnit,
ElectrificationLevel,
EngineConfiguration,V-Shaped
EngineCycles,
EngineCylinders,6
EngineHP,
EngineHP_to,
EngineKW,
EngineManufacturer,
EngineModel,
EntertainmentSystem,
ErrorCode,0
ErrorText,0 - VIN decoded clean. Check Digit (9th position) is correct
ForwardCollisionWarning,
FuelInjectionType,
FuelTankMaterial,
FuelTankType,
FuelTypePrimary,Gasoline
FuelTypeSecondary,
GCWR,
GCWR_to,
GVWR,"Class 1: 6,000 lb or less (2,722 kg or less)"
GVWR_to,"Class 1: 6,000 lb or less (2,722 kg or less)"
KeylessIgnition,
LaneCenteringAssistance,
LaneDepartureWarning,
LaneKeepSystem,
LowerBeamHeadlampLightSource,
Make,MERCEDES-BENZ
MakeID,449
Manufacturer,MERCEDES-BENZ CARS
ManufacturerId,1042
Model,SLK-Class
ModelID,2080
ModelYear,2012
MotorcycleChassisType,Not Applicable
MotorcycleSuspensionType,Not Applicable
NCSABodyType,
NCSAMake,
NCSAMapExcApprovedBy,
NCSAMapExcApprovedOn,
NCSAMappingException,
NCSAModel,
NCSANote,
NonLandUse,
Note,Some of the decoding information provided may vary for non-U.S. market vehicles.
OtherBusInfo,
OtherEngineInfo,
OtherMotorcycleInfo,
OtherRestraintSystemInfo,Type 2 seat belts with load limiters and pretensioners for driver and front passenger.
OtherTrailerInfo,
ParkAssist,
PedestrianAutomaticEmergencyBraking,
PlantCity,BREMEN
PlantCompanyName,
PlantCountry,GERMANY
PlantState,
PossibleValues,
Pretensioner,Yes
RearAutomaticEmergencyBraking,
RearCrossTrafficAlert,
RearVisibilitySystem,
SAEAutomationLevel,
SAEAutomationLevel_to,
SeatBeltsAll,Manual
SeatRows,
Seats,
SemiautomaticHeadlampBeamSwitching,
Series,
Series2,
SteeringLocation,
SuggestedVIN,
TPMS,Direct
TopSpeedMPH,
TrackWidth,
TractionControl,
TrailerBodyType,Not Applicable
TrailerLength,
TrailerType,Not Applicable
TransmissionSpeeds,
TransmissionStyle,
Trim,SLK350
Trim2,
Turbo,
VIN,WDDPK5HA4CF011271
ValveTrainDesign,
VehicleDescriptor,WDDPK5HA*CF
VehicleType,PASSENGER CAR
WheelBaseLong,
WheelBaseShort,
WheelBaseType,
WheelSizeFront,
WheelSizeRear,
WheelieMitigation,
Wheels,
Windows,
