Field,Value
Count,1
Message,Results returned successfully. NOTE: Any missing decoded values should be interpreted as NHTSA does not have data on the specific variable. Missing value should NOT be interpreted as an indication that a feature or technology is unavailable for a vehicle.
SearchCriteria,VIN(s): SALCP2FX0KH829060
ABS,Standard
ActiveSafetySysNote,
AdaptiveCruiseControl,
AdaptiveDrivingBeam,
AdaptiveHeadlights,
AdditionalErrorText,
AirBagLocCurtain,
AirBagLocFront,1st Row (Driver and Passenger)
AirBagLocKnee,
AirBagLocSeatCushion,
AirBagLocSide,1st and 2nd and 3rd Rows
AutoReverseSystem,Standard
AutomaticPedestrianAlertingSound,
AxleConfiguration,
Axles,2
BasePrice,37900
BatteryA,
BatteryA_to,
BatteryCells,
BatteryInfo,
BatteryKWh,
BatteryKWh_to,
BatteryModules,
BatteryPacks,
BatteryType,
BatteryV,
BatteryV_to,
BedLengthIN,
BedType,
BlindSpotIntervention,
BlindSpotMon,Optional
BodyCabType,
BodyClass,Sport Utility Vehicle [SUV]/Multipurpose Vehicle [MPV]
BrakeSystemDesc,
BrakeSystemType,
BusFloorConfigType,Not Applicable
BusLength,
BusType,Not Applicable
CAN_AACN,Standard
CIB,
CashForClunkers,
ChargerLevel,
ChargerPowerKW,
CombinedBrakingSystem,
CoolingType,
CurbWeightLB,
CustomMotorcycleType,Not Applicable
DaytimeRunningLight,Standard
DestinationMarket,
DisplacementCC,2000
DisplacementCI,122.0474881894
DisplacementL,2
Doors,5
DriveType,AWD/All-Wheel Drive
DriverAssist,
DynamicBrakeSupport,Standard
EDR,
ESC,Standard
EVDriveUnit,
ElectrificationLevel,
EngineConfiguration,In-Line
EngineCycles,
EngineCylinders,4
EngineHP,237
EngineHP_to,
EngineKW,
EngineManufacturer,
EngineModel,AJ20P
EntertainmentSystem,
ErrorCode,0
ErrorText,0 - VIN decoded clean. Check Digit (9th position) is correct
ForwardCollisionWarning,
FuelInjectionType,
FuelTankMaterial,
FuelTankType,
FuelTypePrimary,Gasoline
FuelTypeSecondary,
GCWR,
GCWR_to,
GVWR,"Class 1D: 5,001 - 6,000 lb (2,268 - 2,722 kg)"
GVWR_to,
KeylessIgnition,Standard
LaneCenteringAssistance,
LaneDepartureWarning,
LaneKeepSystem,
LowerBeamHeadlampLightSource,
Make,LAND ROVER
MakeID,444
Manufacturer,JAGUAR LAND ROVER LIMITED
ManufacturerId,1079
Model,Discovery Sport
ModelID,2241
ModelYear,2019
MotorcycleChassisType,Not Applicable
MotorcycleSuspensionType,Not Applicable
NCSABodyType,
NCSAMake,
NCSAMapExcApprovedBy,
NCSAMapExcApprovedOn,
NCSAMappingException,
NCSAModel,
NCSANote,
NonLandUse,
Note,
OtherBusInfo,
OtherEngineInfo,
OtherMotorcycleInfo,
OtherRestraintSystemInfo,
OtherTrailerInfo,
ParkAssist,
PedestrianAutomaticEmergencyBraking,
PlantCity,HALEWOOD
PlantCompanyName,
PlantCountry,UNITED KINGDOM (UK)
PlantState,
PossibleValues,
Pretensioner,
RearAutomaticEmergencyBraking,
RearCrossTrafficAlert,
RearVisibilitySystem,Standard
SAEAutomationLevel,
SAEAutomationLevel_to,
SeatBeltsAll,Manual
SeatRows,
Seats,
SemiautomaticHeadlampBeamSwitching,Standard
Series,
Series2,
SteeringLocation,Left-Hand Drive (LHD)
SuggestedVIN,
TPMS,Direct
TopSpeedMPH,124
TrackWidth,
TractionControl,Standard
TrailerBodyType,Not Applicable
TrailerLength,
TrailerType,Not Applicable
TransmissionSpeeds,9
TransmissionStyle,Automatic
Trim,SE
Trim2,
Turbo,
VIN,SALCP2FX0KH829060
ValveTrainDesign,
VehicleDescriptor,SALCP2FX*KH
VehicleType,MULTIPURPOSE PASSENGER VEHICLE (MPV)
WheelBaseLong,
WheelBaseShort,107.9
WheelBaseType,
WheelSizeFront,18
WheelSizeRear,18
WheelieMitigation,
Wheels,4
Windows,
