Field,Value
Count,1
Message,Results returned successfully. NOTE: Any missing decoded values should be interpreted as NHTSA does not have data on the specific variable. Missing value should NOT be interpreted as an indication that a feature or technology is unavailable for a vehicle.
SearchCriteria,VIN(s): 1G1YC3D45M5100699
ABS,Standard
ActiveSafetySysNote,
AdaptiveCruiseControl,
AdaptiveDrivingBeam,
AdaptiveHeadlights,
AdditionalErrorText,
AirBagLocCurtain,
AirBagLocFront,1st Row (Driver and Passenger)
AirBagLocKnee,
AirBagLocSeatCushion,
AirBagLocSide,1st Row (Driver and Passenger)
AutoReverseSystem,Standard
AutomaticPedestrianAlertingSound,
AxleConfiguration,
Axles,2
BasePrice,
BatteryA,
BatteryA_to,
BatteryCells,
BatteryInfo,
BatteryKWh,
BatteryKWh_to,
BatteryModules,
BatteryPacks,
BatteryType,
BatteryV,
BatteryV_to,
BedLengthIN,
BedType,Not Applicable
BlindSpotIntervention,
BlindSpotMon,Standard
BodyCabType,Not Applicable
BodyClass,Convertible/Cabriolet
BrakeSystemDesc,
BrakeSystemType,
BusFloorConfigType,Not Applicable
BusLength,
BusType,Not Applicable
CAN_AACN,
CIB,
CashForClunkers,
ChargerLevel,
ChargerPowerKW,
CombinedBrakingSystem,
CoolingType,
CurbWeightLB,
CustomMotorcycleType,Not Applicable
DaytimeRunningLight,Standard
DestinationMarket,
DisplacementCC,6200.0
DisplacementCI,378.34721338734
DisplacementL,6.2
Doors,2
DriveType,RWD/Rear-Wheel Drive
DriverAssist,
DynamicBrakeSupport,
EDR,
ESC,Standard
EVDriveUnit,
ElectrificationLevel,
EngineConfiguration,
EngineCycles,
EngineCylinders,8
EngineHP,
EngineHP_to,
EngineKW,
EngineManufacturer,
EngineModel,LT2 - ENGINE
EntertainmentSystem,
ErrorCode,0
ErrorText,0 - VIN decoded clean. Check Digit (9th position) is correct
ForwardCollisionWarning,Standard
FuelInjectionType,
FuelTankMaterial,
FuelTankType,
FuelTypePrimary,Gasoline
FuelTypeSecondary,
GCWR,
GCWR_to,
GVWR,"Class 1: 6,000 lb or less (2,722 kg or less)"
GVWR_to,"Class 1: 6,000 lb or less (2,722 kg or less)"
KeylessIgnition,Standard
LaneCenteringAssistance,
LaneDepartureWarning,
LaneKeepSystem,
LowerBeamHeadlampLightSource,LED
Make,CHEVROLET
MakeID,467
Manufacturer,GENERAL MOTORS LLC
ManufacturerId,984
Model,Corvette
ModelID,1831
ModelYear,2021
MotorcycleChassisType,Not Applicable
MotorcycleSuspensionType,Not Applicable
NCSABodyType,
NCSAMake,
NCSAMapExcApprovedBy,
NCSAMapExcApprovedOn,
NCSAMappingException,
NCSAModel,
NCSANote,
NonLandUse,
Note,
OtherBusInfo,
OtherEngineInfo,"DI, AFM, VVT, HO, ALUM, GEN 5  "
OtherMotorcycleInfo,
OtherRestraintSystemInfo,AJ7 - Active Manual Belts
OtherTrailerInfo,
ParkAssist,Standard
PedestrianAutomaticEmergencyBraking,Standard
PlantCity,BOWLING GREEN
PlantCompanyName,
PlantCountry,UNITED STATES (USA)
PlantState,KENTUCKY
PossibleValues,
Pretensioner,
RearAutomaticEmergencyBraking,
RearCrossTrafficAlert,Standard
RearVisibilitySystem,Standard
SAEAutomationLevel,
SAEAutomationLevel_to,
SeatBeltsAll,Manual
SeatRows,1
Seats,2
SemiautomaticHeadlampBeamSwitching,Standard
Series,
Series2,
SteeringLocation,Left-Hand Drive (LHD)
SuggestedVIN,
TPMS,Direct
TopSpeedMPH,
TrackWidth,
TractionControl,Standard
TrailerBodyType,Not Applicable
TrailerLength,
TrailerType,Not Applicable
TransmissionSpeeds,8
TransmissionStyle,Automatic
Trim,Premium 3LT
Trim2,
Turbo,
VIN,1G1YC3D45M5100699
ValveTrainDesign,
VehicleDescriptor,1G1YC3D4*M5
VehicleType,PASSENGER CAR
WheelBaseLong,
WheelBaseShort,107.20
WheelBaseType,
WheelSizeFront,19
WheelSizeRear,20
WheelieMitigation,
Wheels,4
Windows,
