Field,Value
Count,1
Message,Results returned successfully. NOTE: Any missing decoded values should be interpreted as NHTSA does not have data on the specific variable. Missing value should NOT be interpreted as an indication that a feature or technology is unavailable for a vehicle.
SearchCriteria,VIN(s): 7FARS5H8XTE022672
ABS,Standard
ActiveSafetySysNote,
AdaptiveCruiseControl,Standard
AdaptiveDrivingBeam,
AdaptiveHeadlights,
AdditionalErrorText,
AirBagLocCurtain,1st and 2nd Rows
AirBagLocFront,1st Row (Driver and Passenger)
AirBagLocKnee,1st Row (Driver and Passenger)
AirBagLocSeatCushion,
AirBagLocSide,1st and 2nd Rows
AutoReverseSystem,Standard
AutomaticPedestrianAlertingSound,
AxleConfiguration,
Axles,
BasePrice,
BatteryA,
BatteryA_to,
BatteryCells,
BatteryInfo,
BatteryKWh,
BatteryKWh_to,
BatteryModules,
BatteryPacks,
BatteryType,
BatteryV,
BatteryV_to,
BedLengthIN,
BedType,
BlindSpotIntervention,Standard
BlindSpotMon,Standard
BodyCabType,
BodyClass,Sport Utility Vehicle [SUV]/Multipurpose Vehicle [MPV]
BrakeSystemDesc,
BrakeSystemType,
BusFloorConfigType,Not Applicable
BusLength,
BusType,Not Applicable
CAN_AACN,
CIB,Standard
CashForClunkers,
ChargerLevel,
ChargerPowerKW,
CombinedBrakingSystem,
CoolingType,Water
CurbWeightLB,
CustomMotorcycleType,Not Applicable
DaytimeRunningLight,Standard
DestinationMarket,
DisplacementCC,2000
DisplacementCI,122.0474881894
DisplacementL,2
Doors,5
DriveType,4x2
DriverAssist,
DynamicBrakeSupport,Standard
EDR,Standard
ESC,Standard
EVDriveUnit,Single Motor
ElectrificationLevel,Strong HEV (Hybrid Electric Vehicle)
EngineConfiguration,In-Line
EngineCycles,4
EngineCylinders,4
EngineHP,145
EngineHP_to,
EngineKW,
EngineManufacturer,Honda
EngineModel,LFC3
EntertainmentSystem,
ErrorCode,0
ErrorText,0 - VIN decoded clean. Check Digit (9th position) is correct
ForwardCollisionWarning,Standard
FuelInjectionType,
FuelTankMaterial,
FuelTankType,
FuelTypePrimary,Gasoline
FuelTypeSecondary,Electric
GCWR,
GCWR_to,
GVWR,"Class 1D: 5,001 - 6,000 lb (2,268 - 2,722 kg)"
GVWR_to,"Class 1D: 5,001 - 6,000 lb (2,268 - 2,722 kg)"
KeylessIgnition,Standard
LaneCenteringAssistance,
LaneDepartureWarning,Standard
LaneKeepSystem,Standard
LowerBeamHeadlampLightSource,LED
Make,HONDA
MakeID,474
Manufacturer,"AMERICAN HONDA MOTOR CO., INC."
ManufacturerId,988
Model,CR-V
ModelID,1865
ModelYear,2026
MotorcycleChassisType,Not Applicable
MotorcycleSuspensionType,Not Applicable
NCSABodyType,
NCSAMake,
NCSAMapExcApprovedBy,
NCSAMapExcApprovedOn,
NCSAMappingException,
NCSAModel,
NCSANote,
NonLandUse,
Note,
OtherBusInfo,
OtherEngineInfo,"Direct Fuel Injection, Motor Power (kW): 135"
OtherMotorcycleInfo,
OtherRestraintSystemInfo,"Front: Seat Belt: Rear: Seat Belt , Side Air Bag and Side Curtain Air Bag (Outer positions)/Seat Belt (Center position)"
OtherTrailerInfo,
ParkAssist,Standard
PedestrianAutomaticEmergencyBraking,Standard
PlantCity,GREENSBURG
PlantCompanyName,
PlantCountry,UNITED STATES (USA)
PlantState,INDIANA
PossibleValues,
Pretensioner,
RearAutomaticEmergencyBraking,Standard
RearCrossTrafficAlert,Standard
RearVisibilitySystem,Standard
SAEAutomationLevel,
SAEAutomationLevel_to,
SeatBeltsAll,Manual
SeatRows,
Seats,
SemiautomaticHeadlampBeamSwitching,Standard
Series,
Series2,
SteeringLocation,
SuggestedVIN,
TPMS,Direct
TopSpeedMPH,
TrackWidth,
TractionControl,Standard
TrailerBodyType,Not Applicable
TrailerLength,
TrailerType,Not Applicable
TransmissionSpeeds,
TransmissionStyle,Electronic Continuously Variable (e-CVT)
Trim,Sport-L
Trim2,
Turbo,
VIN,7FARS5H8XTE022672
ValveTrainDesign,Dual Overhead Cam (DOHC)
VehicleDescriptor,7FARS5H8*TE
VehicleType,MULTIPURPOSE PASSENGER VEHICLE (MPV)
WheelBaseLong,
WheelBaseShort,
WheelBaseType,
WheelSizeFront,
WheelSizeRear,
WheelieMitigation,
Wheels,
Windows,
