Field,Value
Count,1
Message,Results returned successfully. NOTE: Any missing decoded values should be interpreted as NHTSA does not have data on the specific variable. Missing value should NOT be interpreted as an indication that a feature or technology is unavailable for a vehicle.
SearchCriteria,VIN(s): KMHLL4AG4MU192475
ABS,Standard
ActiveSafetySysNote,
AdaptiveCruiseControl,
AdaptiveDrivingBeam,
AdaptiveHeadlights,
AdditionalErrorText,
AirBagLocCurtain,1st and 2nd Rows
AirBagLocFront,1st Row (Driver and Passenger)
AirBagLocKnee,
AirBagLocSeatCushion,
AirBagLocSide,1st Row (Driver and Passenger)
AutoReverseSystem,Standard
AutomaticPedestrianAlertingSound,
AxleConfiguration,
Axles,2
BasePrice,
BatteryA,
BatteryA_to,
BatteryCells,
BatteryInfo,
BatteryKWh,
BatteryKWh_to,
BatteryModules,
BatteryPacks,
BatteryType,
BatteryV,
BatteryV_to,
BedLengthIN,
BedType,Not Applicable
BlindSpotIntervention,
BlindSpotMon,Standard
BodyCabType,Not Applicable
BodyClass,Sedan/Saloon
BrakeSystemDesc,
BrakeSystemType,
BusFloorConfigType,Not Applicable
BusLength,
BusType,Not Applicable
CAN_AACN,
CIB,
CashForClunkers,
ChargerLevel,
ChargerPowerKW,
CombinedBrakingSystem,
CoolingType,
CurbWeightLB,
CustomMotorcycleType,Not Applicable
DaytimeRunningLight,Standard
DestinationMarket,
DisplacementCC,2000.0
DisplacementCI,122.04748818946
DisplacementL,2.0
Doors,4
DriveType,FWD/Front-Wheel Drive
DriverAssist,
DynamicBrakeSupport,Standard
EDR,
ESC,Standard
EVDriveUnit,
ElectrificationLevel,
EngineConfiguration,
EngineCycles,
EngineCylinders,4
EngineHP,147
EngineHP_to,
EngineKW,
EngineManufacturer,
EngineModel,MPI NU PE
EntertainmentSystem,
ErrorCode,0
ErrorText,0 - VIN decoded clean. Check Digit (9th position) is correct
ForwardCollisionWarning,Standard
FuelInjectionType,Multipoint Fuel Injection (MPFI)
FuelTankMaterial,
FuelTankType,
FuelTypePrimary,Gasoline
FuelTypeSecondary,
GCWR,
GCWR_to,
GVWR,"Class 1: 6,000 lb or less (2,722 kg or less)"
GVWR_to,"Class 1: 6,000 lb or less (2,722 kg or less)"
KeylessIgnition,
LaneCenteringAssistance,Standard
LaneDepartureWarning,Standard
LaneKeepSystem,Standard
LowerBeamHeadlampLightSource,Halogen
Make,HYUNDAI
MakeID,498
Manufacturer,HYUNDAI MOTOR CO
ManufacturerId,15984
Model,Elantra
ModelID,2735
ModelYear,2021
MotorcycleChassisType,Not Applicable
MotorcycleSuspensionType,Not Applicable
NCSABodyType,
NCSAMake,
NCSAMapExcApprovedBy,
NCSAMapExcApprovedOn,
NCSAMappingException,
NCSAModel,
NCSANote,
NonLandUse,
Note,
OtherBusInfo,
OtherEngineInfo,
OtherMotorcycleInfo,
OtherRestraintSystemInfo,Seat Belt: All Positions
OtherTrailerInfo,
ParkAssist,
PedestrianAutomaticEmergencyBraking,Standard
PlantCity,ULSAN
PlantCompanyName,
PlantCountry,SOUTH KOREA
PlantState,
PossibleValues,
Pretensioner,
RearAutomaticEmergencyBraking,
RearCrossTrafficAlert,
RearVisibilitySystem,Standard
SAEAutomationLevel,
SAEAutomationLevel_to,
SeatBeltsAll,Manual
SeatRows,2
Seats,5
SemiautomaticHeadlampBeamSwitching,Standard
Series,
Series2,
SteeringLocation,Left-Hand Drive (LHD)
SuggestedVIN,
TPMS,Direct
TopSpeedMPH,
TrackWidth,
TractionControl,Standard
TrailerBodyType,Not Applicable
TrailerLength,
TrailerType,Not Applicable
TransmissionSpeeds,
TransmissionStyle,Continuously Variable Transmission (CVT)
Trim,SE
Trim2,
Turbo,
VIN,KMHLL4AG4MU192475
ValveTrainDesign,Dual Overhead Cam (DOHC)
VehicleDescriptor,KMHLL4AG*MU
VehicleType,PASSENGER CAR
WheelBaseLong,
WheelBaseShort,107.10
WheelBaseType,
WheelSizeFront,15
WheelSizeRear,15
WheelieMitigation,
Wheels,4
Windows,
