Field,Value
Count,1
Message,Results returned successfully. NOTE: Any missing decoded values should be interpreted as NHTSA does not have data on the specific variable. Missing value should NOT be interpreted as an indication that a feature or technology is unavailable for a vehicle.
SearchCriteria,VIN(s): W1K5J5BB5RN454751
ABS,Standard
ActiveSafetySysNote,
AdaptiveCruiseControl,
AdaptiveDrivingBeam,
AdaptiveHeadlights,
AdditionalErrorText,
AirBagLocCurtain,
AirBagLocFront,1st Row (Driver and Passenger)
AirBagLocKnee,
AirBagLocSeatCushion,
AirBagLocSide,1st and 2nd Rows
AutoReverseSystem,Standard
AutomaticPedestrianAlertingSound,
AxleConfiguration,
Axles,
BasePrice,
BatteryA,
BatteryA_to,
BatteryCells,
BatteryInfo,
BatteryKWh,
BatteryKWh_to,
BatteryModules,
BatteryPacks,
BatteryType,
BatteryV,
BatteryV_to,
BedLengthIN,
BedType,Not Applicable
BlindSpotIntervention,
BlindSpotMon,Standard
BodyCabType,Not Applicable
BodyClass,Sedan/Saloon
BrakeSystemDesc,
BrakeSystemType,
BusFloorConfigType,Not Applicable
BusLength,
BusType,Not Applicable
CAN_AACN,
CIB,
CashForClunkers,
ChargerLevel,
ChargerPowerKW,
CombinedBrakingSystem,
CoolingType,Water
CurbWeightLB,
CustomMotorcycleType,Not Applicable
DaytimeRunningLight,Standard
DestinationMarket,
DisplacementCC,2000
DisplacementCI,122.0474881894
DisplacementL,2
Doors,4
DriveType,AWD/All-Wheel Drive
DriverAssist,
DynamicBrakeSupport,
EDR,
ESC,Standard
EVDriveUnit,
ElectrificationLevel,
EngineConfiguration,In-Line
EngineCycles,4
EngineCylinders,4
EngineHP,302
EngineHP_to,
EngineKW,
EngineManufacturer,Mercedes-Benz AG
EngineModel,M260
EntertainmentSystem,
ErrorCode,0
ErrorText,0 - VIN decoded clean. Check Digit (9th position) is correct
ForwardCollisionWarning,
FuelInjectionType,
FuelTankMaterial,
FuelTankType,
FuelTypePrimary,Gasoline
FuelTypeSecondary,
GCWR,
GCWR_to,
GVWR,"Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)"
GVWR_to,"Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)"
KeylessIgnition,Standard
LaneCenteringAssistance,
LaneDepartureWarning,
LaneKeepSystem,
LowerBeamHeadlampLightSource,LED
Make,MERCEDES-BENZ
MakeID,449
Manufacturer,MERCEDES-BENZ CARS
ManufacturerId,1042
Model,CLA-Class
ModelID,2083
ModelYear,2024
MotorcycleChassisType,Not Applicable
MotorcycleSuspensionType,Not Applicable
NCSABodyType,
NCSAMake,
NCSAMapExcApprovedBy,
NCSAMapExcApprovedOn,
NCSAMappingException,
NCSAModel,
NCSANote,
NonLandUse,
Note,"US: AMG CLA35 4MATIC, Canada: AMG CLA35 4-M Turbo"
OtherBusInfo,
OtherEngineInfo,DFI
OtherMotorcycleInfo,
OtherRestraintSystemInfo,Type 2 seat belts for all occupants. Seat belts on all outboard designated seating positions are equipped with load limiters and pretensioners.
OtherTrailerInfo,
ParkAssist,Standard
PedestrianAutomaticEmergencyBraking,
PlantCity,KECSKEMET
PlantCompanyName,
PlantCountry,HUNGARY
PlantState,
PossibleValues,
Pretensioner,Yes
RearAutomaticEmergencyBraking,
RearCrossTrafficAlert,
RearVisibilitySystem,Standard
SAEAutomationLevel,
SAEAutomationLevel_to,
SeatBeltsAll,Manual
SeatRows,2
Seats,5
SemiautomaticHeadlampBeamSwitching,Standard
Series,
Series2,Coupe Body Style
SteeringLocation,
SuggestedVIN,
TPMS,Direct
TopSpeedMPH,
TrackWidth,
TractionControl,Standard
TrailerBodyType,Not Applicable
TrailerLength,
TrailerType,Not Applicable
TransmissionSpeeds,8
TransmissionStyle,Automated Manual Transmission (AMT)
Trim,AMG CLA35 4MATIC/AMG CLA35 4-M Turbo
Trim2,
Turbo,Yes
VIN,W1K5J5BB5RN454751
ValveTrainDesign,Dual Overhead Cam (DOHC)
VehicleDescriptor,W1K5J5BB*RN
VehicleType,PASSENGER CAR
WheelBaseLong,
WheelBaseShort,
WheelBaseType,
WheelSizeFront,
WheelSizeRear,
WheelieMitigation,
Wheels,
Windows,
